,As75,Cd111,Co59,Cu65,DTF spain 2009 (1st experiment),DTF spain 2009 (2nd experiment),DTF sweden 2009 (1st experiment),DTF sweden 2009 (2nd experiment),DTFmainEffect2009,FT16,K39,Mg25,Mn55,Mo98,Na23,Ni60,P31,Rb85,S34,Se82,Zn66
As75,1.0,0.23248086267422927,0.16083626467920042,0.3311237329510112,0.3311237329510112,0.3311237329510112,0.3311237329510112,0.3311237329510112,0.3311237329510112,0.4786229725112321,0.16083626467920042,0.3311237329510112,0.15848342533402837,0.16083626467920042,0.16322403419434148,0.4786229725112321,0.48572859228726956,0.15848342533402837,0.15848342533402837,0.15848342533402837,0.15848342533402837
Cd111,0.23248086267422927,1.0,0.08661209660798029,0.16083626467920042,0.15848342533402837,0.16810644572152092,0.17060214808810586,0.16810644572152092,0.16564725245152345,0.2394349074591892,0.07928258035666665,0.16322403419434148,0.07585380812713456,0.08920286641071956,0.08045960674953244,0.24298954965404493,0.2394349074591892,0.07928258035666665,0.07585380812713456,0.07585380812713456,0.08920286641071956
Co59,0.16083626467920042,0.08661209660798029,1.0,0.1197791961576711,0.1145990471310689,0.11127068154511516,0.11127068154511516,0.11127068154511516,0.11630038054458462,0.15848342533402837,0.05904392124107556,0.10964292652341259,0.05649042012439482,0.054849736584826975,0.055664033840436555,0.15848342533402837,0.15848342533402837,0.06450241386746189,0.0532567043544737,0.05818018033496629,0.05649042012439482
Cu65,0.3311237329510112,0.16083626467920042,0.1197791961576711,1.0,0.22907994981548765,0.22907994981548765,0.22907994981548765,0.22907994981548765,0.23248086267422927,0.3311237329510112,0.12893832978241238,0.22907994981548765,0.11630038054458462,0.11127068154511516,0.1145990471310689,0.33603958421662683,0.3311237329510112,0.1233620712588967,0.1180269718939768,0.1180269718939768,0.10964292652341259
DTF spain 2009 (1st experiment),0.3311237329510112,0.15848342533402837,0.1145990471310689,0.22907994981548765,1.0,0.37255581217172296,0.3512293712930294,0.3617354609111999,0.4512248641125353,0.4130401289077199,0.11292260216048342,0.23248086267422927,0.11127068154511516,0.11630038054458462,0.11292260216048342,0.3311237329510112,0.34102841603682327,0.10964292652341259,0.10964292652341259,0.10964292652341259,0.12155743388100944
DTF spain 2009 (2nd experiment),0.3311237329510112,0.16810644572152092,0.11127068154511516,0.22907994981548765,0.37255581217172296,1.0,0.45792373253720664,0.4512248641125353,0.3311237329510112,0.3893962194533741,0.10964292652341259,0.23248086267422927,0.10964292652341259,0.11292260216048342,0.11292260216048342,0.3311237329510112,0.33603958421662683,0.11127068154511516,0.10964292652341259,0.11127068154511516,0.1145990471310689
DTF sweden 2009 (1st experiment),0.3311237329510112,0.17060214808810586,0.11127068154511516,0.22907994981548765,0.3512293712930294,0.45792373253720664,1.0,0.4069978531288875,0.31216901399723174,0.4253951224386704,0.10964292652341259,0.23248086267422927,0.11127068154511516,0.1197791961576711,0.11292260216048342,0.3311237329510112,0.3311237329510112,0.10964292652341259,0.10964292652341259,0.10964292652341259,0.11292260216048342
DTF sweden 2009 (2nd experiment),0.3311237329510112,0.16810644572152092,0.11127068154511516,0.22907994981548765,0.3617354609111999,0.4512248641125353,0.4069978531288875,1.0,0.33603958421662683,0.4191721080997443,0.11292260216048342,0.22907994981548765,0.11292260216048342,0.1145990471310689,0.11127068154511516,0.3311237329510112,0.33603958421662683,0.10964292652341259,0.10964292652341259,0.11127068154511516,0.11292260216048342
DTFmainEffect2009,0.3311237329510112,0.16564725245152345,0.11630038054458462,0.23248086267422927,0.4512248641125353,0.3311237329510112,0.31216901399723174,0.33603958421662683,1.0,0.40104396851118507,0.1145990471310689,0.22907994981548765,0.11127068154511516,0.11630038054458462,0.11127068154511516,0.3311237329510112,0.34102841603682327,0.11292260216048342,0.10964292652341259,0.10964292652341259,0.11630038054458462
FT16,0.4786229725112321,0.2394349074591892,0.15848342533402837,0.3311237329510112,0.4130401289077199,0.3893962194533741,0.4253951224386704,0.4191721080997443,0.40104396851118507,1.0,0.15848342533402837,0.3311237329510112,0.15848342533402837,0.16564725245152345,0.15848342533402837,0.4786229725112321,0.4786229725112321,0.15848342533402837,0.15848342533402837,0.16083626467920042,0.15848342533402837
K39,0.16083626467920042,0.07928258035666665,0.05904392124107556,0.12893832978241238,0.11292260216048342,0.10964292652341259,0.10964292652341259,0.11292260216048342,0.1145990471310689,0.15848342533402837,1.0,0.10964292652341259,0.0599204852142257,0.0532567043544737,0.0626290334170829,0.16810644572152092,0.16564725245152345,0.06943470801103561,0.05904392124107556,0.05818018033496629,0.054849736584826975
Mg25,0.3311237329510112,0.16322403419434148,0.10964292652341259,0.22907994981548765,0.23248086267422927,0.23248086267422927,0.23248086267422927,0.22907994981548765,0.22907994981548765,0.3311237329510112,0.10964292652341259,1.0,0.11292260216048342,0.1180269718939768,0.10964292652341259,0.3311237329510112,0.3311237329510112,0.10964292652341259,0.11127068154511516,0.11127068154511516,0.12155743388100944
Mn55,0.15848342533402837,0.07585380812713456,0.05649042012439482,0.11630038054458462,0.11127068154511516,0.10964292652341259,0.11127068154511516,0.11292260216048342,0.11127068154511516,0.15848342533402837,0.0599204852142257,0.11292260216048342,1.0,0.05404735150975385,0.054849736584826975,0.15848342533402837,0.15848342533402837,0.05818018033496629,0.06450241386746189,0.06355882183920483,0.05649042012439482
Mo98,0.16083626467920042,0.08920286641071956,0.054849736584826975,0.11127068154511516,0.11630038054458462,0.11292260216048342,0.1197791961576711,0.1145990471310689,0.11630038054458462,0.16564725245152345,0.0532567043544737,0.1180269718939768,0.05404735150975385,1.0,0.054849736584826975,0.16083626467920042,0.16322403419434148,0.054849736584826975,0.055664033840436555,0.055664033840436555,0.0626290334170829
Na23,0.16322403419434148,0.08045960674953244,0.055664033840436555,0.1145990471310689,0.11292260216048342,0.11292260216048342,0.11292260216048342,0.11127068154511516,0.11127068154511516,0.15848342533402837,0.0626290334170829,0.10964292652341259,0.054849736584826975,0.054849736584826975,1.0,0.16322403419434148,0.15848342533402837,0.05904392124107556,0.0599204852142257,0.05649042012439482,0.0532567043544737
Ni60,0.4786229725112321,0.24298954965404493,0.15848342533402837,0.33603958421662683,0.3311237329510112,0.3311237329510112,0.3311237329510112,0.3311237329510112,0.3311237329510112,0.4786229725112321,0.16810644572152092,0.3311237329510112,0.15848342533402837,0.16083626467920042,0.16322403419434148,1.0,0.5076846779399887,0.16083626467920042,0.15848342533402837,0.15848342533402837,0.16322403419434148
P31,0.48572859228726956,0.2394349074591892,0.15848342533402837,0.3311237329510112,0.34102841603682327,0.33603958421662683,0.3311237329510112,0.33603958421662683,0.34102841603682327,0.4786229725112321,0.16564725245152345,0.3311237329510112,0.15848342533402837,0.16322403419434148,0.15848342533402837,0.5076846779399887,1.0,0.16564725245152345,0.15848342533402837,0.15848342533402837,0.16322403419434148
Rb85,0.15848342533402837,0.07928258035666665,0.06450241386746189,0.1233620712588967,0.10964292652341259,0.11127068154511516,0.10964292652341259,0.10964292652341259,0.11292260216048342,0.15848342533402837,0.06943470801103561,0.10964292652341259,0.05818018033496629,0.054849736584826975,0.05904392124107556,0.16083626467920042,0.16564725245152345,1.0,0.0599204852142257,0.05649042012439482,0.05404735150975385
S34,0.15848342533402837,0.07585380812713456,0.0532567043544737,0.1180269718939768,0.10964292652341259,0.10964292652341259,0.10964292652341259,0.10964292652341259,0.10964292652341259,0.15848342533402837,0.05904392124107556,0.11127068154511516,0.06450241386746189,0.055664033840436555,0.0599204852142257,0.15848342533402837,0.15848342533402837,0.0599204852142257,1.0,0.0664318314961331,0.055664033840436555
Se82,0.15848342533402837,0.07585380812713456,0.05818018033496629,0.1180269718939768,0.10964292652341259,0.11127068154511516,0.10964292652341259,0.11127068154511516,0.10964292652341259,0.16083626467920042,0.05818018033496629,0.11127068154511516,0.06355882183920483,0.055664033840436555,0.05649042012439482,0.15848342533402837,0.15848342533402837,0.05649042012439482,0.0664318314961331,1.0,0.0532567043544737
Zn66,0.15848342533402837,0.08920286641071956,0.05649042012439482,0.10964292652341259,0.12155743388100944,0.1145990471310689,0.11292260216048342,0.11292260216048342,0.11630038054458462,0.15848342533402837,0.054849736584826975,0.12155743388100944,0.05649042012439482,0.0626290334170829,0.0532567043544737,0.16322403419434148,0.16322403419434148,0.05404735150975385,0.055664033840436555,0.0532567043544737,1.0
